Date	Open	Change %
11/23/1998	1163.55	2.12%
11/24/1998	1188.21	-0.44%
11/25/1998	1182.99	0.33%
11/27/1998	1186.87	0.46%
11/30/1998	1192.33	-2.41%
12/01/1998	1163.63	1.00%
12/02/1998	1175.28	-0.34%
12/03/1998	1171.25	-1.80%
12/04/1998	1150.14	2.31%
12/07/1998	1176.74	0.93%
12/08/1998	1187.7	-0.53%
12/09/1998	1181.38	0.18%
12/10/1998	1183.49	-1.56%
12/11/1998	1165.02	0.12%
12/14/1998	1166.46	-2.17%
12/15/1998	1141.2	1.90%
12/16/1998	1162.83	-0.08%
12/17/1998	1161.94	1.55%
12/18/1998	1179.98	0.68%
12/21/1998	1188.03	1.25%
12/22/1998	1202.84	0.06%
12/23/1998	1203.57	2.07%
12/24/1998	1228.54	-0.18%
12/28/1998	1226.27	-0.06%
12/29/1998	1225.49	1.33%
12/30/1998	1241.81	-0.80%
12/31/1998	1231.93	-0.22%
01/04/1999	1229.23	-0.09%
01/05/1999	1228.1	1.36%
01/06/1999	1244.78	2.21%
01/07/1999	1272.34	-0.21%
01/08/1999	1269.73	0.42%
01/11/1999	1275.09	-0.88%
01/12/1999	1263.88	-1.93%
01/13/1999	1239.51	-0.41%
01/14/1999	1234.4	-1.80%
01/15/1999	1212.19	2.56%
01/19/1999	1243.26	0.70%
01/20/1999	1252.0	0.37%
01/21/1999	1256.62	-1.71%
01/22/1999	1235.16	-0.81%
01/25/1999	1225.19	0.72%
01/26/1999	1233.98	1.49%
01/27/1999	1252.31	-0.73%
01/28/1999	1243.17	1.79%
01/29/1999	1265.37	1.13%
02/01/1999	1279.64	-0.52%
02/02/1999	1273.0	-0.86%
02/03/1999	1261.99	0.80%
02/04/1999	1272.07	-1.85%
02/05/1999	1248.49	-0.73%
02/08/1999	1239.4	0.35%
02/09/1999	1243.77	-2.22%
02/10/1999	1216.14	0.61%
02/11/1999	1223.55	2.49%
02/12/1999	1254.04	-1.91%
02/16/1999	1230.13	0.95%
02/17/1999	1241.87	-1.44%
02/18/1999	1224.03	1.08%
02/19/1999	1237.28	0.16%
02/22/1999	1239.22	2.66%
02/23/1999	1272.14	-0.08%
02/24/1999	1271.18	-1.40%
02/25/1999	1253.41	-0.67%
02/26/1999	1245.02	-0.54%
03/01/1999	1238.33	-0.18%
03/02/1999	1236.16	-0.86%
03/03/1999	1225.5	0.18%
03/04/1999	1227.7	1.54%
03/05/1999	1246.64	2.31%
03/08/1999	1275.47	0.57%
03/09/1999	1282.73	-0.23%
03/10/1999	1279.84	0.55%
03/11/1999	1286.84	0.84%
03/12/1999	1297.68	-0.24%
03/15/1999	1294.59	0.98%
03/16/1999	1307.26	-0.07%
03/17/1999	1306.38	-0.66%
03/18/1999	1297.82	1.44%
03/19/1999	1316.55	-1.31%
03/22/1999	1299.29	-0.18%
03/23/1999	1297.01	-2.69%
03/24/1999	1262.14	0.51%
03/25/1999	1268.59	1.69%
03/26/1999	1289.99	-0.56%
03/29/1999	1282.8	2.13%
03/30/1999	1310.17	-0.72%
03/31/1999	1300.75	-1.11%
04/01/1999	1286.37	0.57%
04/05/1999	1293.72	2.12%
04/06/1999	1321.12	-0.24%
04/07/1999	1317.89	0.68%
04/08/1999	1326.89	1.29%
04/09/1999	1343.98	0.33%
04/12/1999	1348.35	0.76%
04/13/1999	1358.64	-0.65%
04/14/1999	1349.82	-1.58%
04/15/1999	1328.44	-0.42%
04/16/1999	1322.86	-0.29%
04/19/1999	1319.0	-2.24%
04/20/1999	1289.48	1.29%
04/21/1999	1306.17	2.29%
04/22/1999	1336.12	1.70%
04/23/1999	1358.83	-0.14%
04/26/1999	1356.85	0.24%
04/27/1999	1360.04	0.20%
04/28/1999	1362.8	-0.87%
04/29/1999	1350.91	-0.60%
04/30/1999	1342.83	-0.57%
05/03/1999	1335.18	1.46%
05/04/1999	1354.63	-1.67%
05/05/1999	1332.0	1.15%
05/06/1999	1347.31	-1.13%
05/07/1999	1332.05	0.97%
05/10/1999	1345.0	-0.35%
